"filename", "language", "Python", "Ignore", "Ini", "Shell Script", "YAML", "Markdown", "Docker", "pip requirements", "JavaScript", "CSS", "XML", "JSON", "HTML", "CSV", "comment", "blank", "total"
"d:\IMDB\Licenta\backend\apps\api\services\artist_service.py", "Python", 104, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 40, 168
"d:\IMDB\Licenta\backend\apps\api\services\genre_service.py", "Python", 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 3, 23
"d:\IMDB\Licenta\backend\apps\api\services\image_service.py", "Python", 71, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 21, 97
"d:\IMDB\Licenta\backend\apps\api\services\rating_service.py", "Python", 101, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 42, 143
"d:\IMDB\Licenta\backend\apps\api\services\upload_service.py", "Python", 95, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 34, 146
"d:\IMDB\Licenta\backend\apps\api\services\user_service.py", "Python", 114, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 36, 167
"d:\IMDB\Licenta\backend\apps\api\utils\__init__.py", "Python", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10
"d:\IMDB\Licenta\backend\apps\api\utils\exceptions.py", "Python", 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 41, 15, 81
"d:\IMDB\Licenta\backend\apps\api\utils\responses.py", "Python", 76, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 24, 114
"d:\IMDB\Licenta\backend\apps\api\utils\utils.py", "Python", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 7, 20
"d:\IMDB\Licenta\backend\apps\extensions\__init__.py", "Python", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 2, 15
"d:\IMDB\Licenta\backend\config.py", "Python", 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 15, 64
"d:\IMDB\Licenta\backend\entrypoint.sh", "Shell Script", 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 5
"d:\IMDB\Licenta\backend\migrations\alembic.ini", "Ini", 0, 0, 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 51
"d:\IMDB\Licenta\backend\migrations\env.py", "Python", 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 32, 19, 91
"d:\IMDB\Licenta\backend\migrations\versions\4ab9782d1773_.py", "Python", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 6, 38
"d:\IMDB\Licenta\backend\migrations\versions\a387a4543b62_.py", "Python", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 7, 29
"d:\IMDB\Licenta\backend\migrations\versions\e07388f2b77d_.py", "Python", 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 7, 34
"d:\IMDB\Licenta\backend\requirements.txt", "pip requirements", 0, 0, 0, 0, 0, 0, 0, 54, 0, 0, 0, 0, 0, 0, 0, 1, 55
"d:\IMDB\Licenta\client\.dockerignore", "Ignore", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"d:\IMDB\Licenta\client\.idea\client.iml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 12
"d:\IMDB\Licenta\client\.idea\codeStyles\codeStyleConfig.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 5
"d:\IMDB\Licenta\client\.idea\modules.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 8
"d:\IMDB\Licenta\client\.idea\vcs.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 6
"d:\IMDB\Licenta\client\Dockerfile", "Docker", 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 5, 5, 19
"d:\IMDB\Licenta\client\README.md", "Markdown", 0, 0, 0, 0, 0, 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 33, 71
"d:\IMDB\Licenta\client\package-lock.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 32079, 0, 0, 0, 1, 32080
"d:\IMDB\Licenta\client\package.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 45, 0, 0, 0, 1, 46
"d:\IMDB\Licenta\client\public\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 0, 24, 4, 55
"d:\IMDB\Licenta\client\public\manifest.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 1, 26
"d:\IMDB\Licenta\client\src\App.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 33, 0, 0, 0, 0, 0, 6, 39
"d:\IMDB\Licenta\client\src\App.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 4, 29
"d:\IMDB\Licenta\client\src\App.test.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 2, 9
"d:\IMDB\Licenta\client\src\Routes.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 39, 0, 0, 0, 0, 0, 0, 2, 41
"d:\IMDB\Licenta\client\src\components\Button.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 2, 11
"d:\IMDB\Licenta\client\src\components\Nav.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 5, 31
"d:\IMDB\Licenta\client\src\components\Nav.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 59, 0, 0, 0, 0, 0, 0, 8, 67
"d:\IMDB\Licenta\client\src\components\Pagination.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 2, 13
"d:\IMDB\Licenta\client\src\components\RatingCard.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 106, 0, 0, 0, 0, 0, 0, 10, 116
"d:\IMDB\Licenta\client\src\components\RatingForm.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 61, 0, 0, 0, 0, 0, 0, 8, 69
"d:\IMDB\Licenta\client\src\components\Ratings.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 45, 0, 0, 0, 0, 0, 0, 7, 52
"d:\IMDB\Licenta\client\src\components\SearchForm.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 38, 0, 0, 0, 0, 0, 0, 6, 44
"d:\IMDB\Licenta\client\src\components\Star.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 2, 7
"d:\IMDB\Licenta\client\src\components\StarsForCard.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 6, 22
